proper,HR,RA2000,DEJ2000,Vmag
NA,133,0.542935,27.580759,6.68
NA,131,0.543189,20.294316,5.38
NA,136,0.545512,-63.0315,5.07
NA,134,0.546969,28.280241,6.26
NA,130,0.549997,62.931783,4.17
NA,135,0.552879,54.894985,5.93
NA,129,0.55534,70.981843,6.41
NA,139,0.556463,-71.266246,6.11
NA,138,0.561401,-29.558278,5.55
NA,137,0.573583,66.750351,6.47
NA,140,0.574374,-52.37309,5.57
NA,141,0.582046,13.371137,6.39
NA,142,0.587466,-3.592846,5.2
NA,143,0.592454,-0.50561,5.94
NA,148,0.592591,-54.821873,6.04
NA,147,0.594767,-48.000907,5.51
NA,145,0.598557,13.207067,6.32
NA,150,0.600877,-14.973035,6.45
NA,151,0.601906,-22.842333,6.06
NA,144,0.602306,54.16845,5.08
NA,149,0.605583,27.254763,6.51
NA,146,0.607595,60.326215,5.78
NA,160,0.610449,-65.124445,6.43
NA,152,0.612903,44.488587,5.14
NA,155,0.613142,15.231725,5.89
NA,154,0.61468,33.719344,4.34
Fulu,153,0.616188,53.896909,3.69
NA,156,0.618664,24.014136,6.18
NA,162,0.621727,-54.393819,6.4
NA,159,0.622393,-24.767267,5.57
NA,157,0.622561,35.399501,5.45
NA,161,0.625136,3.135351,6.43
NA,163,0.642602,29.311751,4.34
NA,169,0.644624,-73.137618,6.87
NA,164,0.652748,49.354589,5.45
NA,165,0.655462,30.861024,3.27
NA,166,0.656063,21.250472,5.88
NA,158,0.663247,82.493762,6.38
NA,171,0.664428,-44.796293,6.0
NA,167,0.665436,21.438495,5.36
NA,170,0.666051,-33.961449,6.68
NA,176,0.673659,-59.454604,5.89
NA,172,0.674606,-16.516676,6.49
Schedar,168,0.675116,56.537331,2.24
NA,173,0.675771,-23.804876,6.14
NA,174,0.678437,-4.351841,5.9
NA,175,0.68533,39.458664,5.3
NA,180,0.688766,-46.085007,4.59
NA,178,0.693343,24.629008,6.06
NA,183,0.69621,-56.501315,5.72
NA,177,0.700953,66.147592,5.83
NA,179,0.701081,50.512526,4.8
NA,187,0.707869,-65.46803,5.38
NA,181,0.708618,58.753411,6.18
NA,186,0.711609,-60.262807,5.99
NA,185,0.711914,-38.463483,6.05
NA,191,0.722567,-57.46306,4.36
NA,184,0.724466,47.024546,4.95
Diphda,188,0.72649,-17.986605,2.04
NA,190,0.73058,-12.011813,6.01
NA,194,0.7365,-10.60955,4.77
NA,195,0.736683,-38.421686,5.9
NA,189,0.740612,47.863984,5.66
NA,199,0.742107,-62.497591,6.06
NA,193,0.74542,48.284364,4.48
NA,197,0.745666,-22.006135,5.22
NA,198,0.749187,-42.676558,5.94
NA,202,0.749959,-53.714895,6.15
NA,196,0.754774,55.221396,5.41
NA,201,0.756702,-4.62916,6.15
NA,203,0.757969,-12.88081,6.15
NA,192,0.760862,74.988073,5.64
NA,206,0.761585,-16.42422,6.47
NA,209,0.76265,-47.551985,5.8
NA,205,0.769669,44.861497,6.03
NA,210,0.769929,-22.522097,5.49
NA,204,0.770847,55.305381,6.51
NA,211,0.775822,15.475504,5.36
NA,200,0.777313,69.325408,6.39
NA,207,0.778462,59.574539,6.41
NA,213,0.783738,11.973849,5.51
NA,214,0.787118,19.578702,6.11
Shimu,215,0.788981,24.267178,4.08
NA,216,0.789898,6.740956,5.98
NA,218,0.795339,-18.061339,5.7
NA,208,0.796119,74.847573,5.42
NA,217,0.798562,20.925346,6.51
NA,220,0.800296,-21.722492,5.57
NA,212,0.802487,72.674482,5.86
NA,221,0.804836,7.299928,5.92
